company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80280397,湘财,股票型,1.69,165.01,96/115,2,17.48,91/115,2,5.72,76/115
80092742,信达证券,混合型,0.50,360.46,150/158,2,34.22,145/158,2,11.59,129/158
80092742,信达证券,,-,-,-/-,-,-,-/-,-,-,-/-
80280395,兴业,股票型,6.68,165.01,79/115,6,17.48,65/115,2,5.72,76/115
80280395,兴业,混合型,121.49,360.46,67/158,33,34.22,58/158,14,11.59,49/158
80452130,新沃,混合型,2.49,360.46,140/158,3,34.22,142/158,1,11.59,148/158
80452130,新沃,,-,-,-/-,-,-,-/-,-,-,-/-
81102343,兴华,混合型,0.42,360.46,151/158,4,34.22,136/158,2,11.59,129/158
81102343,兴华,,-,-,-/-,-,-,-/-,-,-,-/-
80501166,先锋,混合型,0.39,360.46,152/158,10,34.22,103/158,2,11.59,129/158
80501166,先锋,,-,-,-/-,-,-,-/-,-,-,-/-
80000249,新华,股票型,13.09,165.01,68/115,7,17.48,60/115,3,5.72,53/115
80000249,新华,混合型,124.29,360.46,65/158,34,34.22,57/158,13,11.59,52/158
80074234,信达澳银,混合型,168.14,360.46,56/158,28,34.22,65/158,11,11.59,64/158
80074234,信达澳银,股票型,116.18,165.01,27/115,5,17.48,73/115,5,5.72,35/115
80036742,兴证全球,混合型,"2,338.71",360.46,7/158,32,34.22,59/158,19,11.59,34/158
80036742,兴证全球,股票型,102.34,165.01,30/115,5,17.48,73/115,2,5.72,76/115
80147736,西部利得,股票型,28.53,165.01,50/115,11,17.48,44/115,5,5.72,35/115
80147736,西部利得,混合型,55.78,360.46,82/158,32,34.22,59/158,13,11.59,52/158
80351991,鑫元,混合型,8.94,360.46,121/158,11,34.22,101/158,6,11.59,86/158
80351991,鑫元,股票型,0.19,165.01,114/115,2,17.48,91/115,2,5.72,76/115
80000240,万家,混合型,621.78,360.46,22/158,77,34.22,21/158,20,11.59,30/158
80000240,万家,股票型,42.54,165.01,46/115,12,17.48,40/115,3,5.72,53/115
80000247,泰信,混合型,34.06,360.46,97/158,19,34.22,83/158,12,11.59,56/158
80000247,泰信,股票型,0.93,165.01,102/115,2,17.48,91/115,1,5.72,92/115
80560408,同泰,混合型,8.60,360.46,124/158,16,34.22,90/158,6,11.59,86/158
80560408,同泰,,-,-,-/-,-,-,-/-,-,-,-/-
80000252,天治,混合型,14.52,360.46,114/158,11,34.22,101/158,6,11.59,86/158
80000252,天治,,-,-,-/-,-,-,-/-,-,-,-/-
80000124,天风证券,,-,-,-/-,-,-,-/-,-,-,-/-
80000124,天风证券,,-,-,-/-,-,-,-/-,-,-,-/-
80050806,太平洋,,-,-,-/-,-,-,-/-,-,-,-/-
80050806,太平洋,,-,-,-/-,-,-,-/-,-,-,-/-
81102050,天风资管,,-,-,-/-,-,-,-/-,-,-,-/-
81102050,天风资管,,-,-,-/-,-,-,-/-,-,-,-/-
80061674,泰康资产,混合型,394.32,360.46,34/158,43,34.22,46/158,12,11.59,56/158
80061674,泰康资产,股票型,64.04,165.01,39/115,15,17.48,34/115,3,5.72,53/115
80000238,泰达宏利,股票型,22.45,165.01,56/115,14,17.48,37/115,4,5.72,42/115
80000238,泰达宏利,混合型,142.63,360.46,60/158,49,34.22,34/158,12,11.59,56/158
80041198,天弘,混合型,174.40,360.46,55/158,45,34.22,42/158,23,11.59,17/158
80041198,天弘,股票型,481.59,165.01,13/115,64,17.48,10/115,9,5.72,24/115
80294346,太平,股票型,10.20,165.01,76/115,7,17.48,60/115,3,5.72,53/115
80294346,太平,混合型,34.58,360.46,95/158,6,34.22,120/158,5,11.59,97/158
80000080,山西证券,股票型,0.45,165.01,111/115,1,17.48,106/115,2,5.72,76/115
80000080,山西证券,混合型,1.82,360.46,143/158,5,34.22,132/158,4,11.59,104/158
80184574,上海海通证券资产管理,混合型,32.64,360.46,99/158,6,34.22,120/158,3,11.59,113/158
80184574,上海海通证券资产管理,,-,-,-/-,-,-,-/-,-,-,-/-
80192219,上海光大证券,,-,-,-/-,-,-,-/-,-,-,-/-
80192219,上海光大证券,混合型,54.82,360.46,83/158,22,34.22,80/158,7,11.59,80/158
80366080,上银,混合型,27.01,360.46,103/158,12,34.22,94/158,6,11.59,86/158
80366080,上银,股票型,3.12,165.01,88/115,3,17.48,88/115,3,5.72,53/115
80050229,上投,股票型,217.96,165.01,20/115,22,17.48,25/115,12,5.72,16/115
80045188,申万,混合型,166.02,360.46,57/158,29,34.22,64/158,16,11.59,43/158
80045188,申万,股票型,105.41,165.01,28/115,30,17.48,20/115,11,5.72,19/115
80000231,融通,股票型,104.61,165.01,29/115,16,17.48,31/115,4,5.72,42/115
80000231,融通,混合型,339.66,360.46,37/158,48,34.22,38/158,21,11.59,25/158
80672691,睿远,,-,-,-/-,-,-,-/-,-,-,-/-
80672691,睿远,混合型,465.88,360.46,28/158,4,34.22,136/158,3,11.59,113/158
81046799,瑞达,,-,-,-/-,-,-,-/-,-,-,-/-
81046799,瑞达,混合型,-,360.46,158/158,2,34.22,145/158,-,11.59,158/158
80061431,人保资产,混合型,7.64,360.46,127/158,15,34.22,91/158,8,11.59,74/158
80061431,人保资产,股票型,2.18,165.01,92/115,2,17.48,91/115,2,5.72,76/115
80280038,前海开源,混合型,739.83,360.46,20/158,86,34.22,17/158,25,11.59,15/158
80280038,前海开源,股票型,87.28,165.01,35/115,27,17.48,23/115,11,5.72,19/115
80468996,前海联合,混合型,41.40,360.46,90/158,26,34.22,69/158,10,11.59,69/158
80468996,前海联合,股票型,0.18,165.01,115/115,2,17.48,91/115,1,5.72,92/115
80091787,浦银,股票型,14.95,165.01,65/115,10,17.48,50/115,2,5.72,76/115
80091787,浦银,混合型,131.94,360.46,63/158,44,34.22,45/158,15,11.59,44/158
80168726,平安,混合型,327.36,360.46,38/158,76,34.22,22/158,20,11.59,30/158
80168726,平安,股票型,100.90,165.01,31/115,27,17.48,23/115,4,5.72,42/115
80522693,鹏扬,混合型,323.44,360.46,39/158,38,34.22,52/158,11,11.59,64/158
80522693,鹏扬,股票型,2.87,165.01,90/115,6,17.48,65/115,1,5.72,92/115
80000230,鹏华,混合型,"1,646.95",360.46,13/158,146,34.22,5/158,35,11.59,8/158
80000230,鹏华,股票型,411.33,165.01,15/115,61,17.48,12/115,19,5.72,7/115
80092233,农银,混合型,493.07,360.46,27/158,35,34.22,56/158,15,11.59,44/158
80092233,农银,股票型,97.46,165.01,34/115,6,17.48,65/115,4,5.72,42/115
80000220,南方,混合型,"2,361.03",360.46,6/158,162,34.22,3/158,43,11.59,5/158
80000220,南方,股票型,958.71,165.01,6/115,87,17.48,4/115,22,5.72,3/115
80555446,南华,混合型,2.54,360.46,139/158,4,34.22,136/158,2,11.59,129/158
80555446,南华,股票型,0.74,165.01,104/115,3,17.48,88/115,1,5.72,92/115
80049689,诺安,混合型,450.56,360.46,30/158,38,34.22,52/158,19,11.59,34/158
80049689,诺安,股票型,43.05,165.01,45/115,15,17.48,34/115,8,5.72,25/115
80068180,诺德,股票型,6.08,165.01,82/115,1,17.48,106/115,1,5.72,92/115
80068180,诺德,混合型,130.38,360.46,64/158,28,34.22,65/158,12,11.59,56/158
