fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
hh,	001216,易方达新收益混合A,2020-04-24,2.0810,2.0810,-0.7630,0.4344,6.9373,-0.4782,12.0022,23.4282,63.0878,81.4298,1.6113,108.10,0.12%,http://fund.eastmoney.com/	001216.html
hh,	001838,国投瑞银国家安全混合,2020-04-24,0.6960,0.6960,-0.8547,0.4329,5.7751,2.9586,5.6146,-4.3956,-15.8404,-22.1477,0.8696,-30.40,0.15%,http://fund.eastmoney.com/	001838.html
hh,	003025,新华红利回报混合,2020-04-24,1.1367,1.4379,-0.4815,0.4329,6.1146,3.9032,18.1024,27.0219,44.4634,47.4631,5.7216,47.7138,0.15%,http://fund.eastmoney.com/	003025.html
hh,	000339,长城医疗保健混合,2020-04-24,2.7943,2.7943,-1.7337,0.4313,7.7009,11.8033,32.3497,56.0103,79.4669,91.1286,23.1023,179.43,0.15%,http://fund.eastmoney.com/	000339.html
hh,	004549,富安达消费主题混合,2020-04-24,1.3291,1.3291,-1.4459,0.4307,8.4006,8.4625,13.4238,24.2846,34.7288,,7.6281,32.91,0.15%,http://fund.eastmoney.com/	004549.html
hh,	007481,华夏逸享健康混合,2020-04-24,1.2146,1.2146,-1.2038,0.43,4.0164,12.1514,,,,,18.1518,21.46,0.15%,http://fund.eastmoney.com/	007481.html
hh,	000556,国投瑞银新机遇灵活配置混合A,2020-04-24,1.8760,2.1220,-1.6771,0.4282,5.2159,6.1086,32.3505,24.9265,47.9959,60.1450,11.0059,125.5831,0.06%,http://fund.eastmoney.com/	000556.html
hh,	007310,银华尊尚稳健养老混合(FOF),2020-04-22,1.0564,1.0564,0.1517,0.4277,2.7526,1.1780,4.9995,,,,2.7127,5.6294,0.08%,http://fund.eastmoney.com/	007310.html
hh,	320015,诺安行业轮动混合,2020-04-24,1.2712,1.2712,-0.6565,0.4266,5.1448,-1.9363,9.1721,10.5776,16.3038,27.3444,-0.5632,94.2453,0.12%,http://fund.eastmoney.com/	320015.html
hh,	001463,光大一带一路混合,2020-04-24,0.9420,0.9420,-1.2579,0.4264,7.9038,-0.2119,13.9057,21.3918,1.6181,6.9240,8.9017,-5.80,0.15%,http://fund.eastmoney.com/	001463.html
hh,	166006,中欧行业成长混合(LOF)A,2020-04-24,1.5824,1.9487,-0.8024,0.4252,9.2591,2.8802,24.6475,35.91,41.3692,78.2460,11.4366,120.2443,0.15%,http://fund.eastmoney.com/	166006.html
hh,	005953,人保转型新动力混合A,2020-04-24,1.1109,1.1109,-0.7416,0.4249,5.9817,2.7089,13.2762,13.7867,,,3.9779,11.09,0.15%,http://fund.eastmoney.com/	005953.html
hh,	000754,华宝量化对冲混合C,2020-04-24,1.1586,1.3386,-0.1207,0.4248,0.8092,2.6218,4.8887,10.3639,10.5007,13.0011,3.7057,36.5145,0.00%,http://fund.eastmoney.com/	000754.html
hh,	690003,民生加银精选混合,2020-04-24,0.9480,0.9480,-2.0661,0.4237,8.9655,-4.3391,2.82,-12.3034,-24.2206,-13.5825,-0.2105,-5.20,0.15%,http://fund.eastmoney.com/	690003.html
hh,	006527,富国优质发展混合A,2020-04-24,1.3309,1.3309,-0.5827,0.4225,5.9803,1.4328,21.2334,27.2493,,,4.1148,33.09,0.15%,http://fund.eastmoney.com/	006527.html
